state,district,year_cleaned,crop,production,yield,annual_rainfall
Andaman and Nicobar Islands,NICOBARS,2001,Arecanut,2061.0,1.6435406698564594,3080.9
Andaman and Nicobar Islands,NICOBARS,2002,Arecanut,2083.0,1.6558028616852147,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Arecanut,1525.0,1.2093576526566217,2355.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Arecanut,5239.0,1.69,3080.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Arecanut,5267.0,1.6962962962962962,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Arecanut,5182.0,1.6619627966645285,2355.9
Andaman and Nicobar Islands,NICOBARS,2002,Banana,1278.0,6.0,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Banana,1763.0,6.62781954887218,2355.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Banana,10882.0,7.140419947506562,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Banana,11558.0,7.554248366013072,2355.9
Andaman and Nicobar Islands,NICOBARS,2002,Black pepper,13.5,0.2142857142857142,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Black pepper,15.86,0.2100662251655629,2355.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Black pepper,102.5,0.2104722792607803,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Black pepper,104.37,0.21,2355.9
Andaman and Nicobar Islands,NICOBARS,2001,Cashewnut,192.0,0.2670375521557719,3080.9
Andaman and Nicobar Islands,NICOBARS,2002,Cashewnut,208.0,0.2892906815020862,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Cashewnut,208.5,0.2907949790794979,2355.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Cashewnut,33.0,0.4074074074074074,3080.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Cashewnut,24.0,0.2962962962962963,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Cashewnut,26.14,0.2243776824034334,2355.9
Andaman and Nicobar Islands,NICOBARS,2001,Coconut,64430000.0,3542.056074766356,3080.9
Andaman and Nicobar Islands,NICOBARS,2002,Coconut,67490000.0,3700.1096491228072,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Coconut,68580000.0,3750.6685903108273,2355.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Coconut,25250000.0,3599.429793300071,3080.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Coconut,26830000.0,3800.28328611898,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Coconut,26660000.0,3749.648382559775,2355.9
Andaman and Nicobar Islands,NICOBARS,2002,Dry chillies,28.8,0.0697336561743341,2620.2
Andaman and Nicobar Islands,NICOBARS,2003,Dry chillies,102.0,1.7,2355.9
